Frame,explicit-simd-thr,openacc-offload,openmp-offload,cuda-offload2,cuda-offload3,cuda-offload3b,explicit-simd,implicit-simd,openmp-loop,openmp-simd,thread-loop,vanilla
22,147.73524199999999951,286.59902400000004263,1877.2929430000003777,161.59007699999961005,75.343548200000014958,83.746850687500014487,649.38635200000044279,848.07335200000193254,188.26389499999996247,851.64246800000137227,187.40351099999986673,1133.4369140000007974
23,149.27870299999977988,243.76771900000005644,1902.0439719999942554,161.64667200000027947,101.65326964705882062,85.347957437500014066,655.93325300000060452,857.07387099999721158,189.64925699999923836,860.13359900000091329,189.03946700000017245,1143.9572960000000421
24,149.52119200000035448,302.85917999999958283,1904.9756440000037401,164.1254659999997898,106.36034227777777517,85.347973312500002407,656.649707999999805,857.66177500000037526,191.151261000000801,860.94387500000027558,190.52860099999958265,1155.5830689999986589
25,153.03846399999974892,314.2422380000002704,1941.309029000002738,165.60299300000025369,75.343491950000000656,85.331564312499992297,670.73434799999984079,875.0093490000026577,192.89430599999946025,878.49547899999788569,193.52533300000018812,1169.2193660000000364
26,153.72648800000021652,276.19329699999985905,1939.9019969999997102,170.70496399999956338,96.554335050000005936,88.285566812500007927,673.86871899999971447,880.62964199999885295,195.26714800000010541,882.63280099999974482,194.71642599999938739,1179.7352090000003955
27,156.22728899999981422,264.02344099999999116,1994.3837269999989985,170.85069799999973839,110.95813031578947516,89.654100874999997473,684.13780799999915416,891.19135500000015782,197.35563299999992637,894.79098400000009406,196.01437800000010725,1194.6767569999999523
28,157.72965800000005743,281.53541700000062065,1957.2327059999993253,173.60979600000004552,115.33171769999998446,89.653973687499998846,691.49436700000069322,899.86135199999853285,198.80405800000033878,903.1315669999991087,197.90000900000049455,1207.2753029999994396
29,159.46312599999990312,277.12306799999987561,1987.8646720000006098,170.60507199999986483,83.296014399999990019,90.230629874999991102,697.47618499999930464,908.1865210000011075,199.86410399999954279,911.811092000000599,199.54425500000016314,1220.45518300000208
30,161.64977599999951963,276.92680700000062188,2003.7550810000013826,174.57061899999982302,82.627386850000007712,91.70193456249999997,706.36686599999973168,919.01035700000124962,203.0616090000006011,922.70146599999952741,202.0317879999993238,1233.1708030000002054
31,163.27964400000016099,285.13833000000056472,2043.9897709999995641,173.45734099999975797,100.68865090000001317,94.104200562499983107,712.96729300000197327,926.60667299999840907,205.04283599999962462,930.32273700000087047,203.86101800000045614,1246.2166550000049483
32,165.61337600000047132,279.6021010000000615,2034.0958939999964059,179.28966200000041908,100.8388246500000065,94.10492331250000575,722.1428579999980002,938.49384800000029827,206.01149700000041776,993.22762499999942065,205.29634299999966629,1261.0596589999972821
33,167.67968999999993684,295.46876699999916127,2140.8932209999989027,179.09526100000050519,99.673839899999990166,94.131510749999989685,729.40133200000195757,947.55658000000050833,207.56405799999998862,951.19962900000132322,207.05887900000075774,1273.1068020000009255
34,169.77823199999963322,308.77942999999953599,2140.6006200000006174,180.56655800000066847,76.519786049999993338,96.14803843749999146,738.84263899999780278,959.54196099999933267,209.80751399999951445,962.98458800000116753,209.17575299999936078,1290.7617819999970834
35,171.50344000000040978,317.95297200000049997,2191.3949919999995473,182.3972740000003796,87.320782850000000508,98.08305756249998808,746.10027900000022782,967.9827910000007023,212.09854800000016439,971.44251199999939672,212.50916600000024914,1303.6866680000046017
36,173.32603099999931828,325.50328399999983731,2176.6947370000052615,185.98236800000034918,108.39117504999997266,98.082934874999992303,753.43151300000249648,977.45782199999803197,214.7339139999999702,980.95316299999876719,213.35546799999960399,1318.0015889999979208
37,176.84406900000038831,335.21371299999992743,2228.6579809999975623,191.09476299999971616,107.22259139999997046,98.079186812500012138,768.01272199999812074,994.69806000000107815,216.22188500000038403,998.18203400000265901,215.05204800000043974,1333.0378619999976308
38,177.75586900000030255,392.33486600000054523,2208.5967019999943659,194.75286599999998316,97.625389199999986545,99.791291374999985919,771.69095100000004095,999.62715299999877061,217.62887199999968857,1003.1655569999991258,217.17747900000006211,1346.0733650000022408
39,180.428487999999561,372.37121199999910459,2279.2270619999899282,195.06928400000055035,93.694412549999967155,101.82250312499999723,781.3153390000024956,1011.4033599999957005,220.49196800000015628,1014.9082719999995561,219.729304999999556,1363.0873649999984991
40,182.15092999999970402,351.72812700000122277,2267.5498830000010457,193.74413099999986798,96.640715199999988272,101.82250600000000418,789.30633799999941402,1023.415299999996364,222.56078299999958858,1024.822204000003012,222.62200300000057496,1377.4838620000055016
41,184.1150950000001103,359.12198199999954795,2287.0308680000021013,196.92947500000013861,98.571757650000009221,101.86489781249998998,796.42262799999843992,1030.2814470000000711,225.22599600000069131,1033.5900959999976294,223.92619800000002783,1392.7654889999985244
42,186.91087499999969168,352.51491500000042834,2264.7340460000009443,200.52063199999992094,89.000081799999989585,102.54628556250000315,808.48978899999929126,1045.1021100000020851,227.14283199999928797,1048.4516249999983302,226.22737100000023247,1410.3260560000023816
43,188.9740610000005745,378.72237699999902816,2319.8901930000060929,208.13483500000006643,91.699861350000006155,104.61852562500001795,817.34260100000005878,1055.9274469999947996,229.19763600000209181,1059.2601459999996223,228.60358400000001211,1426.382886999995435
44,191.69490300000012439,376.96998100000024579,2324.9278509999980997,201.49121199999964915,93.58620929999999305,104.61890962499997215,827.80650100000127622,1068.5082250000023123,231.73198299999953065,1071.9750900000021829,231.75754000000026167,1442.6940760000022692
45,193.88769299999975715,378.8891149999997765,2405.3860829999962334,208.35286400000006779,117.44479339999998047,104.03989693749998935,835.70565100000135317,1078.444956999994929,234.48420499999934918,1081.859029999996892,233.76417799999950375,1458.7239159999967342
46,196.3745780000003549,388.61871200000132376,2388.5058609999987311,206.4177400000000091,120.64796744999996747,105.8140440625000025,846.61889199999859557,1092.6226710000009916,236.26592799999991712,1095.9069970000000467,235.23505900000074575,1476.0905190000030416
47,198.83407299999956308,404.48543800000004467,2450.0045670000076825,218.8309739999994008,116.27384424999999624,121.70757381250000151,856.63378199999942808,1104.5612079999998514,238.55233699999979535,1107.7447680000034325,237.51542999999841754,1493.7650350000026265
48,201.4954300000004821,373.066836999999623,2439.1094430000066495,212.83231600000007688,86.663249199999967232,106.82631368750003276,867.01660400000696427,1117.6141259999994872,241.22700900000103275,1120.5850639999966916,240.81328500000154236,1511.8294139999975414
49,202.20831699999931175,415.33009099999952696,2491.7891730000010284,207.98222500000031232,98.03548654999998746,108.2889936874999961,870.63330199999450087,1121.6814260000021477,244.12220800000028476,1124.6960020000003624,243.03953799999965213,1526.5776959999968767
50,206.27082200000046441,389.39349899999876925,2490.6033430000034059,210.708594999999832,126.95105099999996412,121.23417481250001515,885.68994200000611272,1140.0223429999982727,245.87648500000014451,1143.1475430000048163,245.21477000000047042,1547.4184250000034808
51,208.52437500000053205,592.54587900000115042,2541.0512629999998353,214.3593199999997978,91.743891799999971681,110.40587424999998234,896.11043799999379189,1152.6794960000047467,249.06382599999864169,1155.8764619999947172,247.55684699999846998,1564.801279999997405
52,210.76103600000095639,410.59472999999968579,2529.7261500000017804,229.05379000000004908,106.28174489999997832,111.88520131249998713,942.79468400000610018,1162.332285999994383,251.96058500000083313,1165.5069640000021991,251.27626100000099996,1584.6759520000048269
53,214.61942599999872527,536.72322300000269024,2593.7270579999990332,219.58756299999924977,126.95053174999995349,125.45459375000001501,978.7544649999944113,1182.3714459999976043,254.57636600000023464,1185.4899340000031316,253.84691600000053313,1603.0430100000003222
54,215.77821400000019025,414.66930899999709936,2596.4547579999930349,224.39859900000058701,130.15572754999999461,126.26461506250002742,924.57179900000596717,1187.8713540000021567,256.25929399999949965,1191.0614559999999074,255.25980999999831056,1620.5103810000025533
55,219.50617500000112159,553.33690300000171192,2668.329025999994883,219.05095600000024092,118.78185915000001671,114.50869425000001911,939.8160579999980655,1206.1858189999979913,259.45631299999939756,1209.7946949999993649,258.1309850000010897,1642.1583449999984623
56,222.85045399999958704,411.56242099999928996,2689.3127760000083981,228.2211610000004498,108.26805964999999787,115.96640893749999179,953.35915999999792803,1222.5019250000032116,262.2318060000008586,1225.8785510000009253,261.27094599999975344,1659.925743000002285
57,224.63532099999918046,567.1499820000001364,2732.3025999999972555,230.70551800000060894,106.64601739999999097,130.90495581250002033,960.55354399999964699,1232.3147210000015548,265.52025700000035613,1235.2361310000005687,264.48537699999974393,1695.1417319999961819
58,226.83184799999978054,407.75077199999998356,2729.0357570000055603,233.65844600000150422,110.09739884999999049,130.91073462499997504,969.70280400000069676,1243.3317539999961809,267.79050000000029286,1246.4004879999990862,266.53485900000009678,1719.7161670000014055
59,231.22193200000040747,526.53995300000030966,2784.7801209999970524,234.55565899999976409,131.30438054999999054,118.6902526249999994,986.04495400000041627,1264.0062170000021524,270.4956639999984418,1267.0297909999987951,269.79008099999998649,1778.1602620000001025
60,233.7626300000010815,392.28124199999922439,2795.7847410000058517,236.66938500000077283,134.77895850000001587,119.54695012499999507,997.40898400000332913,1277.4890449999957127,274.46919100000144454,1280.2369969999958812,273.76620200000093064,1755.6610649999981888
61,237.08999800000009373,537.89652400000068155,2847.5424420000194914,239.16502800000040452,111.17598999999998455,135.21154081250003287,1010.1281549999966956,1293.3870350000020153,277.17303799999905323,1296.2709360000062588,276.1147469999993973,1786.3217009999914353
62,239.98393299999952433,406.03065499999854637,2859.8598129999854791,243.77579999999989013,114.99857874999996454,136.87912393750002593,1021.9488489999974945,1308.1470400000014251,280.10177300000015066,1311.3386029999958282,278.51129000000082669,1816.4493400000055772
63,242.50970299999963231,411.57351000000016938,2907.8371399999978166,245.84788700000004269,137.52502375000000256,124.33554056249995767,1031.4955380000014884,1320.4862059999982193,282.56581099999954176,1323.5245110000023487,284.38754999999991924,1850.211940000008326
64,245.30857799999949975,415.51304400000077521,2921.8104679999896689,249.94142900000150576,126.76444284999999468,124.34771512499997925,1043.661157000002504,1334.9975479999968684,286.83867900000058171,1338.5100420000028407,285.63491199999901937,1872.3526499999961743
65,248.21085800000020072,419.70250600000014174,2975.2279009999824666,254.88860200000118539,128.82790955000001532,127.54006556249997573,1054.7389669999986381,1349.2601200000037807,289.24790700000005472,1351.946136999998771,287.9729239999999777,1893.9096029999973325
66,252.53857000000044764,421.08529200000077708,3019.7744929999998931,257.36596600000007129,158.65886269999998603,129.82263724999998544,1072.8635840000038115,1370.4787950000109049,292.32591400000097792,1372.964942999992445,291.21311199999945529,1907.0853479999955198
67,255.77280499999943686,434.02539499999903683,3049.4734269999808021,261.29846000000077311,146.92338204999998652,129.81993793750001487,1084.6129939999968883,1384.6144219999985125,296.37675399999886849,1387.4577300000082687,295.23250700000147617,1918.2217390000032538
68,259.45727899999940291,433.10321199999890496,3058.1363189999992755,259.07657800000015413,109.37895655000002648,129.81409200000004489,1098.9578849999973045,1402.892205999989983,299.15212500000086493,1405.699194999996962,297.89362999999900694,1939.5699250000006941
69,261.96710700000028282,421.02847199999973782,3103.4175170000253274,263.88096099999989974,124.21787890000000232,132.71426299999998832,1110.1192220000016277,1416.9383990000028462,302.92605500000036045,1419.7005009999941194,301.7650550000006433,1979.028491999997641
70,266.27850800000095433,582.36729100000059134,3157.287784000004649,262.65757599999869853,151.97927545000004557,135.12565543750000074,1127.572567000001527,1437.5718269999993026,306.06159899999954632,1440.3253520000021126,305.02602299999989555,1995.6898829999972804
71,268.52023500000041167,461.14787600000181556,3191.3313739999866812,269.0834819999992078,151.97966540000004443,135.12550687499995661,1135.6515160000028573,1447.6380950000020675,310.81475100000056955,1450.2693020000094748,308.79346200000054523,2026.1785870000039722
72,273.21550099999922168,601.76174200000082237,3251.6979620000083742,283.21193500000060794,150.82277329999999438,135.11926943750000873,1155.8668859999984306,1472.3626530000046841,312.85046599999867567,1474.9960589999914191,311.69328200000023799,2056.5241360000072746
73,274.2350959999999418,444.6250660000004018,3264.678303000010601,279.87102800000053549,137.45199499999992554,139.02664731249996066,1160.124474999996437,1477.0977139999956762,316.40036299999962921,1480.1006090000043969,315.62490499999995563,2066.9122420000007878
74,280.24586999999991122,455.66812200000231314,3272.9709399999933339,273.32785399999971787,121.41477979999999093,142.08228687499996568,1179.2181770000026972,1502.6677829999925962,321.1401550000019256,1503.291095999998106,319.19310800000033623,2104.8889239999934944
75,282.63010600000092154,465.86579399999902762,3302.1460459999898376,280.38006099999893195,126.84920040000000085,142.08193218749991615,1194.2809529999963161,1516.9785829999966609,324.17875399999832098,1519.5009739999959493,322.48856800000066869,2123.3216260000062903
76,286.73743799999942894,490.45798499999904152,3325.7544250000137254,280.33478300000069794,159.13118629999996756,142.69673593749993756,1208.76142400000208,1535.52741400000059,327.69193600000079414,1538.6490120000075876,326.02285500000152751,2136.4219369999946139
77,291.09445200000118348,479.83820299999990766,3421.3589059999949313,287.46012800000107745,159.13294364999995878,145.70279249999990157,1224.0117300000008527,1553.1963070000074367,333.32234599999924285,1556.4599300000027142,331.4186009999992848,2165.905601000005845
78,295.41239099999927475,458.89540800000008858,3449.7406220000075336,288.23322999999948024,142.5652553499999442,148.84209649999996827,1239.1259760000039023,1573.0463499999984833,336.3601729999992358,1575.5326329999945756,333.95312000000035368,2190.3712829999903988
79,299.29461400000081994,455.04727199999808818,3492.5654170000088925,299.43816599999985328,156.87463460000000737,148.84223281249998649,1259.5731279999924936,1598.2540920000046754,339.25917600000229868,1600.5179960000077699,338.54209899999784739,2219.7676320000000487
80,302.2319590000001881,479.05245700000165243,3509.232570999984091,297.49335300000012694,146.92613395000000764,148.80607868749996214,1272.0921429999948487,1612.685212000002366,344.49356900000083215,1615.2391229999948337,343.54472400000088328,2248.7254930000090098
81,305.95488500000021759,487.13421299999737357,3584.2127140000175132,296.32484499999736727,149.1880951000000266,151.24885062499998867,1286.6321489999991172,1630.7257689999942158,347.67021799999753284,1633.1734510000046612,347.69396300000107658,2282.4412869999973736
82,309.58797999999808326,478.80005200000039167,3589.6383800000248812,301.50165999999956057,164.80891875000000368,193.25985743749996004,1300.9183930000035616,1648.3967420000026323,352.15472800000213738,1651.0087939999921218,350.95407500000067103,2312.1900809999970079
83,313.66780999999832602,518.34344000000237429,3634.9657240000115053,313.21039999999914016,183.56076260000003231,175.35063506249997545,1317.6555309999998826,1667.9156240000024809,356.54406399999771793,1670.7439879999981258,354.42626099999688449,2356.3988900000085778
84,319.17957699999988108,540.58769499999925756,3671.8380210000132138,307.05103800000085812,126.10872840000001815,155.20525912499999777,1338.6838720000041576,1693.5775470000039604,360.4503580000013585,1696.2676870000022973,358.8465370000016037,2379.6125479999973322
85,323.82051100000097676,518.20741999999597738,3736.2133360000198081,308.30082800000013776,142.67610900000002516,175.43128806249990248,1357.2640569999948639,1716.740091999995002,365.57043199999839089,1719.5128460000005362,364.5191630000006171,2412.9782579999955487
